Journal,Started,ISSN,URL,Type,SSCI,REC,h5,IF,R2013,OP2P,DOAJ_LINK,2014_h5,NOTES
A C E T Journal of Computer Education and Research,2003,1547-3716,http://acetweb.org/journal.php,Open,--,,,,x,,,,
AACE Journal.,1993,1551-3696,,z,--,,,,x,,,,
Access,,,http://www.asla.org.au/publications/access.aspx,Sub.,--,,,,x,,,,
ACM Transactions on Knowledge Discovery from Data,2007,1556-4681,http://tkdd.acm.org/,Sub.,Yes,,24,1.147,x,,,40,
Adult Education Quarterly,,0741-7136 ,http://aeq.sagepub.com/,Sub.,Yes,,22,0.918,x,,,,
Advanced Technology for Learning,2004,1710-2251,http://www.actapress.com/Content_Of_Journal.aspx?JournalID=63,Sub.,--,,,,x,,,,
All Ireland Journal of Teaching and Learning in Higher Education (AISHE-J),,2009-3160,http://ojs.aishe.org/,Open,--,,4,,56,,,,
"American Journal of Distance Education, The",1983,0892-3647,http://www.tandfonline.com/hajd,Sub.,--,,,,x,,,,
Asian Journal of Distance Education,2003,1347-9008,http://www.asianjde.org/,Open,--,,,,x,,http://doaj.org/toc/1347-9008,,
Asian Journal on Education and Learning (AJEL),,1906-7151,http://www.ajel.info/,Open,--,,,,38,,,,
Assessment and Evaluation in Higher Education,1981,1469-297X,http://www.tandfonline.com/caeh,Sub.,Yes,,-,1.677,x,,,,
Assistive Technology,1989,1040-0435,http://www.tandfonline.com/uaty,Sub.,Yes,,12,1.4,x,,,,
Australasian Journal of Educational Technology (AJET),1985,1449-5554,http://ajet.org.au/,Open,Yes,Yes,33,1.198,02,,http://doaj.org/toc/1449-5554,30,
Australian Educational Computing,1986,0816-9020,http://acce.edu.au/acce/acce-publications/educational-computing,Sub.,--,,,,x,,,,
Australian Journal of Adult Learning,,1443-1394,https://ala.asn.au/publications/,Sub.,Yes,,10,0.165,x,,,,
British Journal of Educational Technology,1970,1467-8535,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8535,Sub.,Yes,,48,1.394,x,,,44,
Bulletin of the American Society for Information Science & Technology,,1550-8366,http://www.asis.org/bulletin.html,Sub.,--,,,,x,,,,
